Juviniles, Adults, Seniles, Total
26,35,13,74
69,5,35,109
10,14,5,30
28,10,14,52
21,28,10,59
55,21,28,104
42,11,21,74
22,8,11,42
17,22,8,47
44,17,22,83
34,44,17,95
88,34,44,166
67,18,34,118
35,13,18,66
27,42,13,83
85,32,42,160
64,17,32,114
34,13,17,64
26,7,13,45
14,26,7,46
52,14,26,91
27,52,14,92
103,27,52,182
54,21,27,102
41,11,21,73
22,8,11,41
17,22,8,46
43,17,22,82
33,43,17,93
87,33,43,163
66,104,33,203
209,13,104,326
26,42,13,81
83,32,42,157
63,17,32,112
33,13,17,63
25,40,13,78
80,5,40,125
10,16,5,31
32,10,16,58
20,32,10,62
64,20,32,116
41,13,20,74
26,8,13,47
16,26,8,50
51,16,26,93
32,51,16,100
103,6,51,160
13,21,6,40
41,13,21,75
26,41,13,80
82,26,41,149
52,16,26,94
33,10,16,60
21,39,10,71
79,4,39,122
8,16,4,28
32,8,16,56
17,32,8,56
63,17,32,111
33,76,17,125
151,7,76,233
13,30,7,50
60,13,30,104
27,12,13,52
24,5,12,42
11,24,5,40
48,11,24,83
21,48,11,80
97,21,48,166
